Date;CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
31/12/2016;0,24;0,25;5;19;26;31;30;13;;1
30/12/2016;0,26;0,25;14;24;46;11;12;16;;1
29/12/2016;0,23;0,21;14;26;48;21;25;17;;1
28/12/2016;0,18;0,19;8;23;35;39;36;11;;2
27/12/2016;0,24;0,22;17;21;46;15;18;16;;1
26/12/2016;0,17;0,16;6;19;28;31;33;9;;1
25/12/2016;0,16;0,16;2;10;14;32;28;6;;1
24/12/2016;0,19;0,21;4;18;24;23;21;9;;1
23/12/2016;0,27;0,28;26;27;67;9;9;19;;2
22/12/2016;0,35;0,32;34;34;86;8;9;18;;2
21/12/2016;0,29;0,3;13;31;50;20;19;23;;1
20/12/2016;0,26;0,24;9;26;39;29;36;18;;1
19/12/2016;0,25;0,24;16;23;48;29;24;16;;3
18/12/2016;0,2;0,22;3;15;20;24;22;13;14;3
17/12/2016;0,23;0,23;6;21;30;19;20;19;;4
16/12/2016;0,25;0,23;11;30;46;30;36;15;;3
15/12/2016;0,2;0,22;14;20;41;35;30;29;;4
14/12/2016;0,21;0,2;8;26;37;29;29;17;;4
13/12/2016;0,22;0,22;15;29;51;28;27;22;;5
12/12/2016;0,22;0,22;14;34;55;33;34;29;;5
11/12/2016;0,23;0,24;6;26;34;24;23;12;;3
10/12/2016;0,22;0,21;6;22;31;33;35;10;;3
09/12/2016;0,18;0,17;5;22;29;46;53;13;;3
08/12/2016;0,15;0,17;1;8;10;60;52;9;;3
07/12/2016;0,26;0,25;20;30;61;22;24;21;;5
06/12/2016;0,21;0,21;5;22;30;29;30;30;;6
05/12/2016;0,17;0,16;2;17;21;58;66;18;13;4
04/12/2016;0,16;0,16;1;5;6;69;67;8;5;3
03/12/2016;0,19;0,21;8;17;29;38;30;10;;4
02/12/2016;0,24;0,25;17;29;55;20;21;20;;5
01/12/2016;0,24;0,22;11;28;46;38;46;21;12;4
30/11/2016;0,16;0,19;1;9;11;61;55;12;6;3
29/11/2016;0,26;0,25;23;29;65;23;23;17;;3
28/11/2016;0,28;0,29;14;26;47;18;16;13;;4
27/11/2016;0,22;0,21;4;18;25;40;46;8;;3
26/11/2016;0,2;0,2;1;11;13;57;53;;6;3
25/11/2016;0,23;0,24;14;22;43;28;24;;16;6
24/11/2016;0,23;0,22;11;22;39;35;40;10;;3
23/11/2016;0,22;0,21;12;34;52;36;39;9;;3
22/11/2016;0,22;0,22;11;26;43;35;34;12;;4
21/11/2016;;;2;12;15;61;62;;;3
20/11/2016;0,16;0,15;1;5;6;58;61;4;;3
19/11/2016;0,14;0,14;1;9;11;63;58;5;;3
18/11/2016;0,27;0,29;32;32;82;17;12;28;;4
17/11/2016;0,26;0,25;24;24;61;12;12;51;25;4
16/11/2016;0,25;0,24;18;23;50;18;20;24;19;4
15/11/2016;0,2;0,2;4;16;23;41;45;14;9;3
14/11/2016;0,16;0,15;1;11;13;58;62;13;6;3
13/11/2016;0,13;0,14;1;7;9;62;56;7;3;3
12/11/2016;0,2;0,2;4;18;25;25;25;12;;3
11/11/2016;0,19;0,19;4;23;29;43;43;8;;3
10/11/2016;0,2;0,19;14;30;51;29;32;7;;3
09/11/2016;0,16;0,17;2;13;17;55;52;6;4;3
08/11/2016;0,2;0,2;6;23;32;38;42;5;;3
07/11/2016;0,16;0,15;3;14;18;54;56;4;;3
06/11/2016;0,13;0,13;1;9;11;59;60;3;;3
05/11/2016;0,13;0,14;1;9;11;61;58;4;;3
04/11/2016;0,22;0,23;14;25;47;29;25;22;;5
03/11/2016;0,24;0,25;16;32;56;25;24;29;;4
02/11/2016;0,24;0,22;10;29;45;31;32;23;;3
01/11/2016;0,17;0,16;2;13;16;48;48;19;15;3
31/10/2016;0,2;0,2;4;23;29;40;40;27;15;3
30/10/2016;0,19;0,19;2;15;19;41;41;19;12;3
29/10/2016;0,17;0,18;3;16;21;38;36;20;14;4
28/10/2016;0,19;0,19;9;25;39;25;24;24;19;4
27/10/2016;0,2;0,2;9;19;32;29;32;16;;3
26/10/2016;0,24;0,25;11;16;33;30;27;29;22;4
25/10/2016;0,27;0,26;16;25;49;21;21;34;24;4
24/10/2016;0,2;0,19;9;26;39;35;41;16;10;3
23/10/2016;0,14;0,14;1;5;6;54;53;7;4;3
22/10/2016;0,17;0,18;1;9;12;49;44;16;;3
