Date;CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
21/10/2016;0,19;0,17;9;23;36;32;34;17;11;4
20/10/2016;0,18;;5;19;26;37;38;17;10;4
19/10/2016;0,18;0,19;10;17;32;27;23;21;17;5
18/10/2016;0,16;0,16;6;18;27;36;41;13;10;3
17/10/2016;0,21;0,22;7;23;34;38;35;21;;3
16/10/2016;0,17;0,16;2;15;18;53;60;14;9;3
15/10/2016;0,16;0,16;2;13;16;56;48;11;8;3
14/10/2016;0,16;0,15;3;15;19;48;54;10;;3
13/10/2016;0,18;0,19;10;20;35;31;30;11;;3
12/10/2016;0,21;0,23;1;12;13;59;57;15;;3
11/10/2016;0,21;0,19;8;26;38;37;40;19;;3
10/10/2016;0,17;0,18;6;18;27;48;49;19;14;4
09/10/2016;0,18;;1;7;8;64;63;9;6;3
08/10/2016;0,16;0,16;1;8;10;46;42;10;6;3
07/10/2016;0,16;0,15;3;10;14;40;38;13;9;3
06/10/2016;0,13;;2;13;16;46;49;10;5;3
05/10/2016;0,14;0,15;2;13;17;49;52;10;5;3
04/10/2016;0,18;0,18;5;17;24;62;56;24;17;4
03/10/2016;0,18;0,17;8;19;31;37;40;26;15;3
02/10/2016;0,13;0,13;1;5;7;45;43;11;6;3
01/10/2016;0,13;0,15;1;7;8;51;56;9;;3
30/09/2016;0,21;;6;15;24;57;53;23;;4
29/09/2016;;;4;18;24;65;64;20;11;3
28/09/2016;0,16;0,15;4;16;22;38;39;16;8;3
27/09/2016;0,19;0,19;7;18;29;26;27;15;10;4
26/09/2016;0,15;0,14;4;13;20;37;38;16;9;3
25/09/2016;0,12;0,13;1;6;7;61;68;14;4;3
24/09/2016;0,15;;1;11;13;72;63;16;8;3
23/09/2016;0,17;0,16;4;17;23;42;49;14;8;3
22/09/2016;0,18;0,18;3;13;19;54;54;19;13;3
21/09/2016;0,16;0,16;6;14;23;45;40;15;;3
20/09/2016;0,15;0,14;2;13;17;48;51;12;8;3
19/09/2016;0,16;0,16;6;13;23;31;32;13;7;3
18/09/2016;0,13;0,12;1;6;7;45;46;9;4;3
17/09/2016;0,12;0,12;1;6;8;49;49;9;4;3
16/09/2016;0,15;0,16;3;11;15;49;51;10;5;3
15/09/2016;0,16;0,15;1;7;8;54;49;7;3;3
14/09/2016;0,16;;5;14;21;41;46;9;6;3
13/09/2016;0,18;0,18;1;8;10;77;83;17;8;3
12/09/2016;0,19;0,2;2;13;16;81;73;24;11;3
11/09/2016;0,2;0,19;1;9;11;64;62;15;9;3
10/09/2016;0,15;0,15;2;9;12;52;49;14;7;3
09/09/2016;0,15;0,14;1;7;9;46;48;14;6;3
08/09/2016;0,17;0,19;1;8;10;52;56;11;;3
07/09/2016;0,24;0,24;5;17;25;69;66;36;21;6
06/09/2016;0,24;0,23;2;15;19;64;64;25;;4
05/09/2016;0,19;0,19;3;17;22;59;59;26;17;4
04/09/2016;0,22;0,23;1;8;10;73;76;19;13;3
03/09/2016;0,23;0,22;1;10;12;70;70;18;12;3
02/09/2016;0,2;0,21;3;14;19;63;64;23;16;4
01/09/2016;0,21;0,21;4;13;19;57;55;25;18;6
31/08/2016;0,21;0,21;3;14;19;47;52;23;;7
30/08/2016;0,18;0,17;1;9;10;58;58;12;6;3
29/08/2016;0,17;0,18;1;6;8;50;50;9;3;3
28/08/2016;0,2;0,22;0;4;4;66;70;13;;3
27/08/2016;0,2;0,19;0;7;8;89;87;20;9;3
26/08/2016;0,24;0,25;1;10;12;81;83;25;;3
25/08/2016
24/08/2016
23/08/2016;0,21;0,21;2;12;15;82;79;22;12;3
22/08/2016;0,2;;4;12;18;58;54;16;;3
21/08/2016;0,15;;1;4;6;46;46;11;;3
20/08/2016;0,19;0,19;1;4;5;54;58;8;;3
19/08/2016;0,19;0,18;2;9;12;56;49;15;7;3
18/08/2016;0,19;0,19;1;6;8;47;56;10;;3
17/08/2016;0,23;0,24;1;7;8;79;79;17;;3
16/08/2016;0,25;0,25;2;10;13;74;68;17;;3
15/08/2016;0,2;;1;6;7;73;77;;;3
14/08/2016;0,21;0,21;1;7;8;88;86;16;;3
13/08/2016;0,22;0,21;1;8;9;79;77;17;;3
12/08/2016;0,18;;2;10;13;64;64;14;;3
11/08/2016;;;1;7;8;64;66;13;5;3
10/08/2016;;;1;5;6;67;66;14;6;3
09/08/2016;0,13;0,14;1;4;5;51;49;6;;3
08/08/2016;0,16;0,16;2;8;10;53;57;11;;3
07/08/2016;0,15;0,15;1;5;6;58;55;9;;3
06/08/2016;;;1;3;5;39;39;7;3;3
05/08/2016;0,16;0,16;2;7;10;42;47;8;;3
04/08/2016;0,16;0,17;2;9;11;51;51;11;6;3
03/08/2016;0,19;0,19;2;8;11;49;47;13;;3
02/08/2016;0,16;0,15;3;8;13;45;45;11;;3
01/08/2016;0,16;0,16;1;7;9;47;48;9;;3
31/07/2016;0,16;0,17;1;3;5;44;44;4;;3
30/07/2016;0,2;0,2;1;5;7;42;44;6;;3
29/07/2016;0,22;0,22;1;9;11;53;52;15;;3
28/07/2016;0,21;0,2;2;10;13;51;51;11;;3
27/07/2016;0,16;0,16;1;6;8;54;53;8;;3
26/07/2016;0,18;0,18;2;8;11;43;46;7;;3
25/07/2016;0,16;;1;5;6;54;49;8;;3
24/07/2016;;;1;5;6;43;42;6;2;3
23/07/2016;0,17;0,18;1;5;7;41;41;5;1;3
22/07/2016;0,19;0,18;2;9;12;44;49;8;;3
21/07/2016;0,18;0,19;2;10;13;55;54;16;;3
20/07/2016;0,26;0,28;3;10;14;70;75;23;;3
19/07/2016;;;1;9;11;109;108;21;;3
18/07/2016;0,2;;2;18;21;95;93;20;9;3
17/07/2016;0,2;0,19;1;9;10;80;79;16;;3
16/07/2016;0,16;0,16;1;9;11;66;66;14;;3
15/07/2016;0,16;0,15;3;10;15;53;54;17;;3
14/07/2016;0,14;0,14;2;8;12;46;45;13;6;3
13/07/2016;0,15;0,15;2;7;10;51;51;8;3;3
12/07/2016;0,18;0,18;1;8;11;48;49;7;3;3
11/07/2016;0,18;0,18;1;6;8;43;45;6;;3
10/07/2016;0,19;0,19;1;5;6;57;58;14;;3
09/07/2016;0,21;0,21;1;6;8;60;58;16;;3
08/07/2016;0,21;0,22;2;9;12;47;49;9;;3
07/07/2016;0,19;0,18;2;11;14;63;63;17;;3
06/07/2016;0,18;0,18;2;7;10;42;40;10;;3
05/07/2016;0,18;0,18;1;7;9;35;36;5;;3
04/07/2016;0,19;0,19;1;8;9;49;50;14;;3
03/07/2016;0,16;0,15;1;4;6;50;49;7;;3
02/07/2016;0,18;0,18;1;5;6;53;52;7;;3
01/07/2016;0,19;0,19;1;9;11;48;50;11;8;3
30/06/2016;0,19;0,19;4;10;15;51;45;19;;3
29/06/2016;0,16;0,16;1;9;12;42;44;12;;3
28/06/2016;0,18;0,18;2;9;12;47;45;15;;3
27/06/2016;0,16;0,15;3;9;14;46;46;13;7;3
26/06/2016;0,13;0,13;0;4;4;54;56;9;4;3
25/06/2016;0,13;0,13;0;4;4;54;53;7;4;3
24/06/2016;0,14;0,15;1;6;7;51;53;7;;3
23/06/2016;;;1;7;9;84;86;16;;3
22/06/2016;;;1;8;10;79;76;14;;3
21/06/2016;0,19;0,18;4;13;20;55;52;23;14;4
20/06/2016;0,18;0,17;3;10;15;44;45;11;4;3
19/06/2016;0,13;0,14;1;5;6;50;52;8;2;3
18/06/2016;0,19;;1;6;7;60;63;8;3;3
17/06/2016;;0,19;3;13;17;48;45;11;6;3
16/06/2016;0,16;0,16;4;13;18;40;42;11;4;3
15/06/2016;0,18;0,18;2;11;14;43;46;8;3;3
14/06/2016;;;1;7;9;59;62;11;4;
13/06/2016;0,19;0,2;4;12;18;45;41;13;5;
12/06/2016;0,16;0,16;1;7;8;47;46;10;4;0
11/06/2016;0,17;0,16;1;7;9;52;55;14;5;0
10/06/2016;0,16;0,17;1;10;12;68;74;13;7;0
09/06/2016;0,23;0,23;2;13;17;85;83;26;11;1
08/06/2016;0,24;0,24;2;12;15;73;70;23;11;1
07/06/2016;0,22;0,22;3;13;18;68;64;21;9;1
06/06/2016
05/06/2016
04/06/2016;;0,23;;;;;64;;;
03/06/2016;0,21;0,2;2;12;15;71;71;16;7;0
02/06/2016;0,18;0,18;2;13;15;73;75;19;7;0
01/06/2016;0,15;0,14;1;8;10;91;92;14;5;1
31/05/2016;0,19;0,19;1;8;9;96;93;16;7;0
30/05/2016;0,17;0,16;4;11;17;54;51;12;4;0
29/05/2016;0,14;0,15;1;6;7;63;65;8;;0
28/05/2016;0,22;0,23;1;7;8;73;73;12;;0
27/05/2016;0,22;0,21;1;10;11;72;70;17;;1
26/05/2016;0,2;0,2;2;14;17;62;65;16;;1
25/05/2016;0,21;0,22;7;15;25;54;54;18;;1
24/05/2016;0,18;0,18;5;14;21;57;54;16;;2
23/05/2016;0,17;0,16;3;11;15;50;54;12;6;1
22/05/2016;0,14;0,16;1;5;6;61;59;9;;0
21/05/2016;0,19;0,19;1;8;10;65;65;15;;2
20/05/2016;0,17;0,15;3;14;18;51;54;13;;1
19/05/2016;0,18;0,19;2;11;14;61;65;7;;1
18/05/2016;0,21;0,21;1;11;13;76;78;13;;1
17/05/2016;0,18;0,17;2;13;16;88;89;18;;1
16/05/2016;0,2;0,2;1;9;11;91;91;15;;0
15/05/2016;0,15;0,16;1;5;6;94;92;12;;0
14/05/2016;0,17;0,17;1;5;7;84;85;7;;1
13/05/2016;0,18;0,19;2;11;14;65;61;12;;1
12/05/2016;0,17;0,17;4;14;21;57;56;13;;2
11/05/2016;0,13;;1;9;11;76;79;8;;1
10/05/2016;0,15;0,17;3;11;15;70;65;9;;1
09/05/2016;0,17;0,15;1;7;8;74;77;7;;1
08/05/2016;0,17;0,17;0;5;5;89;94;7;;1
07/05/2016;0,18;0,18;0;4;5;91;92;8;;1
06/05/2016;0,16;0,15;0;5;6;111;111;14;;2
05/05/2016;0,21;0,24;3;16;21;94;87;20;;3
04/05/2016;0,22;0,2;5;17;25;59;59;19;;2
03/05/2016;0,19;0,19;2;11;15;61;62;10;;1
02/05/2016;0,18;0,18;3;12;17;66;66;12;;1
01/05/2016;0,15;0,15;1;5;6;78;80;8;;1
30/04/2016;0,16;0,16;1;5;7;77;77;9;;0
29/04/2016;0,19;0,19;4;13;20;65;64;15;;2
28/04/2016;0,16;0,15;1;10;12;77;82;11;;0
27/04/2016;0,16;0,17;2;13;15;76;72;11;;0
26/04/2016;0,18;0,18;3;16;22;62;63;14;5;2
25/04/2016;0,18;0,17;2;16;20;72;75;13;5;1
24/04/2016;0,15;0,15;1;8;9;85;84;8;4;0
23/04/2016;0,16;0,17;1;10;12;64;61;10;4;1
22/04/2016;0,21;0,22;5;18;27;49;46;13;5;1
21/04/2016;0,2;0,2;2;19;23;65;75;11;3;1
20/04/2016;0,18;0,17;1;13;14;102;101;9;2;0
19/04/2016;0,2;0,21;4;19;25;66;59;14;5;1
18/04/2016;0,19;0,19;2;15;17;63;66;11;5;0
17/04/2016;0,19;0,2;1;7;8;68;68;7;3;0
16/04/2016;0,19;0,18;1;5;7;76;75;6;3;0
15/04/2016;0,21;0,21;4;16;21;64;65;10;4;1
14/04/2016;0,2;0,2;1;9;12;71;68;11;;1
13/04/2016;0,19;0,17;2;12;15;75;78;15;;1
12/04/2016;0,19;0,2;2;8;11;73;72;6;;1
11/04/2016;0,2;0,18;2;11;13;70;73;8;;1
10/04/2016;0,16;0,16;12;17;35;59;55;6;;1
09/04/2016;0,21;0,21;2;14;17;58;60;9;;0
08/04/2016;0,22;;2;10;12;73;76;7;;0
07/04/2016;0,18;0,18;2;10;13;84;80;8;;0
06/04/2016;0,18;0,17;1;12;14;75;76;12;;0
05/04/2016;0,15;0,16;1;8;10;82;82;9;;0
04/04/2016;0,22;0,23;2;11;14;69;71;9;;1
03/04/2016;0,2;0,18;1;6;7;87;89;11;;3
02/04/2016;0,18;0,19;13;22;42;62;56;12;;2
01/04/2016;0,18;0,16;3;15;20;70;75;12;;0
31/03/2016;0,17;0,18;2;8;10;78;77;10;;0
30/03/2016;0,2;0,21;11;21;39;64;60;24;;2
29/03/2016;0,26;0,25;2;14;17;61;64;13;;3
28/03/2016;0,25;0,25;1;9;11;64;66;14;;7
27/03/2016;0,19;;1;9;11;71;71;12;;2
26/03/2016;0,23;0,27;2;10;12;50;41;15;;3
25/03/2016;0,31;0,29;5;24;33;40;42;37;;3
24/03/2016;0,22;0,22;3;19;24;73;80;21;;1
23/03/2016;0,21;0,19;1;9;10;92;92;14;;0
22/03/2016;0,2;0,21;2;10;13;75;72;18;;0
21/03/2016;0,25;0,26;7;17;28;53;44;16;;1
20/03/2016;0,24;0,24;4;21;27;38;39;21;;2
19/03/2016;0,26;0,28;2;17;19;62;61;11;;1
18/03/2016;0,35;0,33;11;29;45;;;26;;3
17/03/2016;0,3;0,28;11;28;45;;;24;;3
16/03/2016;0,27;0,3;3;15;19;;;19;;2
15/03/2016;0,36;0,34;12;36;54;44;46;49;;5
14/03/2016;0,31;0,3;5;30;38;48;57;15;;1
13/03/2016;0,27;0,27;1;15;17;89;89;19;;0
12/03/2016;0,22;0,2;2;14;16;73;73;15;;0
11/03/2016;0,19;0,2;2;10;12;71;70;8;;0
10/03/2016;0,2;0,19;2;10;13;73;75;8;;0
09/03/2016;0,18;0,19;3;13;18;68;66;9;;0
08/03/2016;0,2;0,2;3;16;21;62;65;10;;0
07/03/2016;0,2;0,21;3;14;18;71;66;7;;0
06/03/2016;0,2;0,19;2;11;14;71;74;5;;0
05/03/2016;0,16;0,16;1;7;9;75;76;4;;0
04/03/2016;0,2;0,2;18;23;51;45;40;13;;1
03/03/2016;0,21;0,19;4;18;24;68;76;12;;0
02/03/2016;0,32;0,36;9;22;36;55;44;22;;1
01/03/2016;0,26;0,22;7;26;37;57;67;33;;3
29/02/2016;0,19;0,19;2;8;11;81;82;18;;0
28/02/2016;0,21;0,22;1;5;6;71;68;12;;0
27/02/2016;0,23;0,22;1;7;9;75;76;6;;0
26/02/2016;0,21;0,21;3;13;18;54;50;9;;0
25/02/2016;0,21;0,21;3;15;20;58;57;11;;0
24/02/2016;0,24;0,26;11;24;40;38;32;35;;4
23/02/2016;0,25;0,24;10;29;44;40;47;21;;1
22/02/2016;0,31;0,37;8;27;39;43;38;111;;6
21/02/2016;0,41;0,39;8;25;37;38;37;44;;9
20/02/2016;0,39;0,37;9;26;39;32;30;39;;5
19/02/2016;0,28;0,27;23;32;66;33;35;28;;2
18/02/2016;0,31;0,32;7;26;36;51;54;13;;0
17/02/2016;0,26;0,24;19;37;66;38;35;19;;1
16/02/2016;0,19;0,18;5;17;24;58;66;13;;1
15/02/2016;0,2;0,19;2;12;15;70;70;11;;0
14/02/2016;0,17;0,18;1;7;9;76;75;7;;0
13/02/2016;0,24;0,23;2;11;14;50;49;9;;0
12/02/2016;0,24;0,26;3;19;24;50;44;9;;0
11/02/2016;;;;;;47;53;15;;
10/02/2016;;;;;;61;65;6;;
09/02/2016;0,15;0,16;2;11;14;73;71;9;;
08/02/2016;0,18;0,19;2;10;13;69;69;8;2;
07/02/2016;0,19;0,19;2;9;12;68;69;6;1;0
06/02/2016;0,19;0,2;1;10;12;60;52;15;5;0
05/02/2016;0,32;0,32;13;27;47;31;28;31;9;5
04/02/2016;0,24;0,23;19;31;59;36;44;19;3;1
03/02/2016;0,16;0,16;2;12;15;68;68;8;3;0
02/02/2016;0,23;0,23;7;23;34;39;33;31;10;0
01/02/2016
31/01/2016
30/01/2016;;0,22;;;;;15;;;
29/01/2016;0,2;0,21;13;26;45;45;50;18;4;
28/01/2016;0,23;0,22;3;23;28;44;44;12;2;
27/01/2016;0,24;0,27;19;22;51;23;18;32;15;4
26/01/2016;0,31;0,31;16;26;51;10;11;36;12;2
25/01/2016;0,31;0,29;27;29;71;24;30;40;10;
24/01/2016;0,22;0,25;18;14;42;28;22;19;;
23/01/2016;0,4;0,43;32;24;72;6;6;38;14;2
22/01/2016;0,48;0,46;47;35;107;5;6;48;15;3
21/01/2016;0,31;0,29;43;35;100;14;14;39;12;1
20/01/2016;0,31;0,3;31;36;83;18;19;56;18;4
19/01/2016;0,25;0,23;15;31;54;36;42;24;7;
18/01/2016;0,21;0,22;6;24;33;42;41;10;4;
17/01/2016;0,29;0,28;7;23;34;28;26;24;13;2
16/01/2016;0,2;0,19;2;15;19;55;62;11;;
15/01/2016;0,16;0,16;3;14;18;68;68;8;3;
14/01/2016;0,26;0,28;4;17;23;59;57;12;;3
13/01/2016;0,25;0,25;29;34;78;30;26;16;8;5
12/01/2016;0,22;0,23;9;23;36;54;59;10;6;5
11/01/2016;0,19;0,18;5;17;25;68;70;16;5;6
10/01/2016;0,24;0,25;3;8;13;78;77;8;3;6
09/01/2016;0,2;0,21;4;11;16;77;71;8;6;7
08/01/2016;0,23;0,22;6;22;30;51;54;12;4;5
07/01/2016;0,2;0,19;6;19;27;56;57;7;;5
06/01/2016;0,21;0,21;5;13;20;61;57;5;2;5
05/01/2016;0,22;0,2;26;29;69;37;41;10;;5
04/01/2016;0,19;0,2;6;24;33;45;48;6;;5
03/01/2016;0,18;0,19;3;7;11;73;66;5;1;5
02/01/2016;0,2;0,19;5;13;21;56;63;7;;5
01/01/2016;0,18;0,19;4;8;13;54;46;6;;5
