D_PROVINCIA;D_MUNICIPIO;D_ESTACION;F_FECHA;D_HORA;'PM10';'PM25';'NO2';'O3';'SO2'
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;SAN JERÓNIMO                                                                                                                                                                                                                                              ;2023/11/13 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;;;;21.286;
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;SANTA CLARA                                                                                                                                                                                                                                               ;2023/11/13 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;17.849;7.459;28.0;15.375;
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;TORNEO                                                                                                                                                                                                                                                    ;2023/11/13 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;16.768;8.509;26.0;12.125;4.0
SEVILLA                                                                                                                                                                                                                                                   ;ALCALÁ DE GUADAÍRA                                                                                                                                                                                                                                        ;ALCALÁ DE GUADAÍRA                                                                                                                                                                                                                                        ;2023/11/13 00:00:00.000000000;02:00                                                                                                                                                                                                                                                     ;10.503;;4.0;33.625;2.0
SEVILLA                                                                                                                                                                                                                                                   ;DOS HERMANAS                                                                                                                                                                                                                                              ;DOS HERMANAS                                                                                                                                                                                                                                              ;2023/11/13 00:00:00.000000000;02:00                                                                                                                                                                                                                                                     ;;;13.0;15.0;2.0
SEVILLA                                                                                                                                                                                                                                                   ;GUILLENA                                                                                                                                                                                                                                                  ;COBRE LAS CRUCES                                                                                                                                                                                                                                          ;2023/11/13 00:00:00.000000000;02:00                                                                                                                                                                                                                                                     ;;;;;
SEVILLA                                                                                                                                                                                                                                                   ;MAIRENA DEL ALJARAFE                                                                                                                                                                                                                                      ;ALJARAFE                                                                                                                                                                                                                                                  ;2023/11/13 00:00:00.000000000;02:00                                                                                                                                                                                                                                                     ;13.216;;6.0;24.375;3.0
SEVILLA                                                                                                                                                                                                                                                   ;SAN NICOLÁS DEL PUERTO                                                                                                                                                                                                                                    ;SIERRA NORTE                                                                                                                                                                                                                                              ;2023/11/13 00:00:00.000000000;02:00                                                                                                                                                                                                                                                     ;46.647;4.328;3.0;23.75;6.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;BERMEJALES                                                                                                                                                                                                                                                ;2023/11/13 00:00:00.000000000;02:00                                                                                                                                                                                                                                                     ;19.091;;31.0;5.0;4.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;CENTRO                                                                                                                                                                                                                                                    ;2023/11/13 00:00:00.000000000;02:00                                                                                                                                                                                                                                                     ;;;14.0;13.5;4.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;PRÍNCIPES                                                                                                                                                                                                                                                 ;2023/11/13 00:00:00.000000000;02:00                                                                                                                                                                                                                                                     ;14.624;;14.0;;6.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;RANILLA                                                                                                                                                                                                                                                   ;2023/11/13 00:00:00.000000000;02:00                                                                                                                                                                                                                                                     ;;12.188;25.0;;3.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;SAN JERÓNIMO                                                                                                                                                                                                                                              ;2023/11/13 00:00:00.000000000;02:00                                                                                                                                                                                                                                                     ;;;;14.714;
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;SANTA CLARA                                                                                                                                                                                                                                               ;2023/11/13 00:00:00.000000000;02:00                                                                                                                                                                                                                                                     ;17.945;7.8;20.0;9.375;
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;TORNEO                                                                                                                                                                                                                                                    ;2023/11/13 00:00:00.000000000;02:00                                                                                                                                                                                                                                                     ;16.198;8.655;17.0;9.0;4.0
SEVILLA                                                                                                                                                                                                                                                   ;ALCALÁ DE GUADAÍRA                                                                                                                                                                                                                                        ;ALCALÁ DE GUADAÍRA                                                                                                                                                                                                                                        ;2023/11/13 00:00:00.000000000;03:00                                                                                                                                                                                                                                                     ;10.273;;4.0;33.375;2.0
SEVILLA                                                                                                                                                                                                                                                   ;DOS HERMANAS                                                                                                                                                                                                                                              ;DOS HERMANAS                                                                                                                                                                                                                                              ;2023/11/13 00:00:00.000000000;03:00                                                                                                                                                                                                                                                     ;;;14.0;11.0;2.0
SEVILLA                                                                                                                                                                                                                                                   ;GUILLENA                                                                                                                                                                                                                                                  ;COBRE LAS CRUCES                                                                                                                                                                                                                                          ;2023/11/13 00:00:00.000000000;03:00                                                                                                                                                                                                                                                     ;;;;;
SEVILLA                                                                                                                                                                                                                                                   ;MAIRENA DEL ALJARAFE                                                                                                                                                                                                                                      ;ALJARAFE                                                                                                                                                                                                                                                  ;2023/11/13 00:00:00.000000000;03:00                                                                                                                                                                                                                                                     ;13.307;;3.0;21.75;3.0
SEVILLA                                                                                                                                                                                                                                                   ;SAN NICOLÁS DEL PUERTO                                                                                                                                                                                                                                    ;SIERRA NORTE                                                                                                                                                                                                                                              ;2023/11/13 00:00:00.000000000;03:00                                                                                                                                                                                                                                                     ;46.863;4.281;3.0;19.875;6.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;BERMEJALES                                                                                                                                                                                                                                                ;2023/11/13 00:00:00.000000000;03:00                                                                                                                                                                                                                                                     ;19.108;;17.0;5.5;4.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;CENTRO                                                                                                                                                                                                                                                    ;2023/11/13 00:00:00.000000000;03:00                                                                                                                                                                                                                                                     ;;;15.0;9.5;4.0
