D_PROVINCIA;D_MUNICIPIO;D_ESTACION;F_FECHA;D_HORA;'PM10';'PM25';'NO2';'O3';'SO2'
SEVILLA                                                                                                                                                                                                                                                   ;GUILLENA                                                                                                                                                                                                                                                  ;COBRE LAS CRUCES                                                                                                                                                                                                                                          ;2023/11/13 00:00:00.000000000;05:00                                                                                                                                                                                                                                                     ;;;;;
SEVILLA                                                                                                                                                                                                                                                   ;MAIRENA DEL ALJARAFE                                                                                                                                                                                                                                      ;ALJARAFE                                                                                                                                                                                                                                                  ;2023/11/13 00:00:00.000000000;05:00                                                                                                                                                                                                                                                     ;12.898;;4.0;25.375;3.0
SEVILLA                                                                                                                                                                                                                                                   ;SAN NICOLÁS DEL PUERTO                                                                                                                                                                                                                                    ;SIERRA NORTE                                                                                                                                                                                                                                              ;2023/11/13 00:00:00.000000000;05:00                                                                                                                                                                                                                                                     ;47.987;3.952;2.0;15.125;6.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;BERMEJALES                                                                                                                                                                                                                                                ;2023/11/13 00:00:00.000000000;05:00                                                                                                                                                                                                                                                     ;18.981;;19.0;7.125;4.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;CENTRO                                                                                                                                                                                                                                                    ;2023/11/13 00:00:00.000000000;05:00                                                                                                                                                                                                                                                     ;;;9.0;11.5;4.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;PRÍNCIPES                                                                                                                                                                                                                                                 ;2023/11/13 00:00:00.000000000;05:00                                                                                                                                                                                                                                                     ;14.034;;9.0;;6.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;RANILLA                                                                                                                                                                                                                                                   ;2023/11/13 00:00:00.000000000;05:00                                                                                                                                                                                                                                                     ;;11.749;19.0;;3.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;SAN JERÓNIMO                                                                                                                                                                                                                                              ;2023/11/13 00:00:00.000000000;05:00                                                                                                                                                                                                                                                     ;;;;11.714;
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;SANTA CLARA                                                                                                                                                                                                                                               ;2023/11/13 00:00:00.000000000;05:00                                                                                                                                                                                                                                                     ;18.759;8.19;16.0;9.625;
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;TORNEO                                                                                                                                                                                                                                                    ;2023/11/13 00:00:00.000000000;05:00                                                                                                                                                                                                                                                     ;15.96;8.921;14.0;11.0;4.0
SEVILLA                                                                                                                                                                                                                                                   ;ALCALÁ DE GUADAÍRA                                                                                                                                                                                                                                        ;ALCALÁ DE GUADAÍRA                                                                                                                                                                                                                                        ;2023/11/13 00:00:00.000000000;06:00                                                                                                                                                                                                                                                     ;9.89;;7.0;35.875;2.0
SEVILLA                                                                                                                                                                                                                                                   ;DOS HERMANAS                                                                                                                                                                                                                                              ;DOS HERMANAS                                                                                                                                                                                                                                              ;2023/11/13 00:00:00.000000000;06:00                                                                                                                                                                                                                                                     ;;;15.0;17.714;2.0
SEVILLA                                                                                                                                                                                                                                                   ;GUILLENA                                                                                                                                                                                                                                                  ;COBRE LAS CRUCES                                                                                                                                                                                                                                          ;2023/11/13 00:00:00.000000000;06:00                                                                                                                                                                                                                                                     ;;;;;
SEVILLA                                                                                                                                                                                                                                                   ;MAIRENA DEL ALJARAFE                                                                                                                                                                                                                                      ;ALJARAFE                                                                                                                                                                                                                                                  ;2023/11/13 00:00:00.000000000;06:00                                                                                                                                                                                                                                                     ;12.399;;4.0;27.375;3.0
SEVILLA                                                                                                                                                                                                                                                   ;SAN NICOLÁS DEL PUERTO                                                                                                                                                                                                                                    ;SIERRA NORTE                                                                                                                                                                                                                                              ;2023/11/13 00:00:00.000000000;06:00                                                                                                                                                                                                                                                     ;;3.713;2.0;11.625;5.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;BERMEJALES                                                                                                                                                                                                                                                ;2023/11/13 00:00:00.000000000;06:00                                                                                                                                                                                                                                                     ;18.825;;21.0;7.375;4.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;CENTRO                                                                                                                                                                                                                                                    ;2023/11/13 00:00:00.000000000;06:00                                                                                                                                                                                                                                                     ;;;7.0;12.25;4.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;PRÍNCIPES                                                                                                                                                                                                                                                 ;2023/11/13 00:00:00.000000000;06:00                                                                                                                                                                                                                                                     ;14.034;;9.0;;6.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;RANILLA                                                                                                                                                                                                                                                   ;2023/11/13 00:00:00.000000000;06:00                                                                                                                                                                                                                                                     ;;11.651;19.0;;3.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;SAN JERÓNIMO                                                                                                                                                                                                                                              ;2023/11/13 00:00:00.000000000;06:00                                                                                                                                                                                                                                                     ;;;;11.571;
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;SANTA CLARA                                                                                                                                                                                                                                               ;2023/11/13 00:00:00.000000000;06:00                                                                                                                                                                                                                                                     ;19.143;8.288;19.0;9.875;
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;TORNEO                                                                                                                                                                                                                                                    ;2023/11/13 00:00:00.000000000;06:00                                                                                                                                                                                                                                                     ;15.96;9.019;14.0;11.625;4.0
SEVILLA                                                                                                                                                                                                                                                   ;ALCALÁ DE GUADAÍRA                                                                                                                                                                                                                                        ;ALCALÁ DE GUADAÍRA                                                                                                                                                                                                                                        ;2023/11/13 00:00:00.000000000;07:00                                                                                                                                                                                                                                                     ;9.698;;11.0;32.375;3.0
SEVILLA                                                                                                                                                                                                                                                   ;DOS HERMANAS                                                                                                                                                                                                                                              ;DOS HERMANAS                                                                                                                                                                                                                                              ;2023/11/13 00:00:00.000000000;07:00                                                                                                                                                                                                                                                     ;;;30.0;21.177;2.0
SEVILLA                                                                                                                                                                                                                                                   ;GUILLENA                                                                                                                                                                                                                                                  ;COBRE LAS CRUCES                                                                                                                                                                                                                                          ;2023/11/13 00:00:00.000000000;07:00                                                                                                                                                                                                                                                     ;;;;;
SEVILLA                                                                                                                                                                                                                                                   ;MAIRENA DEL ALJARAFE                                                                                                                                                                                                                                      ;ALJARAFE                                                                                                                                                                                                                                                  ;2023/11/13 00:00:00.000000000;07:00                                                                                                                                                                                                                                                     ;12.126;;6.0;27.125;3.0
SEVILLA                                                                                                                                                                                                                                                   ;SAN NICOLÁS DEL PUERTO                                                                                                                                                                                                                                    ;SIERRA NORTE                                                                                                                                                                                                                                              ;2023/11/13 00:00:00.000000000;07:00                                                                                                                                                                                                                                                     ;;3.665;2.0;10.125;6.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;BERMEJALES                                                                                                                                                                                                                                                ;2023/11/13 00:00:00.000000000;07:00                                                                                                                                                                                                                                                     ;18.757;;17.0;8.125;4.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;CENTRO                                                                                                                                                                                                                                                    ;2023/11/13 00:00:00.000000000;07:00                                                                                                                                                                                                                                                     ;;;14.0;11.875;4.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;PRÍNCIPES                                                                                                                                                                                                                                                 ;2023/11/13 00:00:00.000000000;07:00                                                                                                                                                                                                                                                     ;14.034;;14.0;;6.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;RANILLA                                                                                                                                                                                                                                                   ;2023/11/13 00:00:00.000000000;07:00                                                                                                                                                                                                                                                     ;;11.602;19.0;;3.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;SAN JERÓNIMO                                                                                                                                                                                                                                              ;2023/11/13 00:00:00.000000000;07:00                                                                                                                                                                                                                                                     ;;;;10.714;
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;SANTA CLARA                                                                                                                                                                                                                                               ;2023/11/13 00:00:00.000000000;07:00                                                                                                                                                                                                                                                     ;19.478;8.288;20.0;9.875;
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;TORNEO                                                                                                                                                                                                                                                    ;2023/11/13 00:00:00.000000000;07:00                                                                                                                                                                                                                                                     ;15.912;9.068;17.0;11.375;5.0
SEVILLA                                                                                                                                                                                                                                                   ;ALCALÁ DE GUADAÍRA                                                                                                                                                                                                                                        ;ALCALÁ DE GUADAÍRA                                                                                                                                                                                                                                        ;2023/11/13 00:00:00.000000000;08:00                                                                                                                                                                                                                                                     ;9.967;;20.0;29.75;2.0
SEVILLA                                                                                                                                                                                                                                                   ;DOS HERMANAS                                                                                                                                                                                                                                              ;DOS HERMANAS                                                                                                                                                                                                                                              ;2023/11/13 00:00:00.000000000;08:00                                                                                                                                                                                                                                                     ;;;29.0;18.904;2.0
SEVILLA                                                                                                                                                                                                                                                   ;GUILLENA                                                                                                                                                                                                                                                  ;COBRE LAS CRUCES                                                                                                                                                                                                                                          ;2023/11/13 00:00:00.000000000;08:00                                                                                                                                                                                                                                                     ;;;;;
SEVILLA                                                                                                                                                                                                                                                   ;MAIRENA DEL ALJARAFE                                                                                                                                                                                                                                      ;ALJARAFE                                                                                                                                                                                                                                                  ;2023/11/13 00:00:00.000000000;08:00                                                                                                                                                                                                                                                     ;11.854;;11.0;28.375;3.0
SEVILLA                                                                                                                                                                                                                                                   ;SAN NICOLÁS DEL PUERTO                                                                                                                                                                                                                                    ;SIERRA NORTE                                                                                                                                                                                                                                              ;2023/11/13 00:00:00.000000000;08:00                                                                                                                                                                                                                                                     ;;3.719;2.0;9.5;6.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;BERMEJALES                                                                                                                                                                                                                                                ;2023/11/13 00:00:00.000000000;08:00                                                                                                                                                                                                                                                     ;18.706;;25.265;8.125;4.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;CENTRO                                                                                                                                                                                                                                                    ;2023/11/13 00:00:00.000000000;08:00                                                                                                                                                                                                                                                     ;;;17.0;10.375;4.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;PRÍNCIPES                                                                                                                                                                                                                                                 ;2023/11/13 00:00:00.000000000;08:00                                                                                                                                                                                                                                                     ;14.034;;24.0;;7.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;RANILLA                                                                                                                                                                                                                                                   ;2023/11/13 00:00:00.000000000;08:00                                                                                                                                                                                                                                                     ;;11.602;19.0;;4.0
