SO2 (µg/m3);NO (µg/m3);NO2 (µg/m3);CO (mg/m3);O3 (µg/m3);PM10 (µg/m3);NOx (µg/m3)
0.7;1.4;3.4;0.3;77.2;27.8;5.5
0.5;1;4.1;0.3;80;23.2;5.5
0.3;1.3;2.6;0.2;91.2;25.8;4.5
0.5;1.5;2.4;0.2;94.5;23.5;4.5
0.4;1;2.2;0.2;95.5;21;4
0.3;0.7;6;0.2;83.8;18.5;6.8
1.5;1.2;8.8;0.3;70.2;22.8;10.8
1.5;1.3;12.4;0.3;59.2;25.8;14.2
1.2;1.2;10.7;0.3;56.5;30;12.5
1.5;1.4;6.9;0.2;55.5;29.5;9.2
1.1;1.1;8.1;0.2;53.8;19.5;9.8
1.1;1.4;10;0.2;48;22.2;12.2
1.5;1.1;9;0.2;53.8;17;10.5
1;1.4;1.5;0.2;81;22.8;3.8
;;;;;;
0.8;1.4;2;0.2;86;13.8;4
0.5;1.6;0.2;0.1;112.2;6;2.8
0.5;1.1;3.7;0.2;110.2;4.8;5.5
1.2;0.9;2.2;0.2;109.2;6.8;3.5
1.2;1.3;3;0.2;102.8;10.8;5
1.2;1.4;0.5;0.2;101.5;10;2.5
1.3;1.2;0.4;0.2;97.2;6.2;2.2
0.8;1.6;0.5;0.2;95.5;6;3
0.4;1.6;0.6;0.2;92.5;7;2.8
0.3;1.5;0.4;0.2;92;7;2.8
0.3;1.5;0.6;0.2;91;5;3
0.6;1.3;0.8;0.2;93.8;4;3.2
1.1;1.8;2.4;0.2;93.5;7.8;5.2
1.7;1.4;2.5;0.2;93.8;9.8;4.5
0.6;1.5;3.2;0.2;93.2;10;5.5
0.6;1.1;2.6;0.2;98;10;4.5
0.3;1.4;5;0.3;89;7.2;7
0.3;1.4;5.1;0.3;89.2;8.8;7
0.3;1.6;9.4;0.2;82.5;10;11.8
0.4;1.3;5.8;0.3;87.8;8;7.8
0.3;1.5;3.1;0.3;86.8;7;5.2
0.6;1.4;12.6;0.3;73.2;7;14.8
0.7;1.3;7.3;0.3;78.2;8.5;9.2
1.5;1.1;3.4;0.3;77;11;5
1.1;1.4;5.7;0.3;68.2;9;7.8
0.4;1.4;7.9;0.3;64.2;6.8;10.2
0.8;1.4;16;0.3;52.8;7;18.2
1;1.7;18.8;0.2;54.8;11.5;21.5
1.8;18.4;40.4;0.3;13;10;68.5
0.8;14.4;30.4;0.2;31;21;52.8
0.4;3.4;12.2;0.2;47;7;17.5
2.3;4.5;12.6;0.2;51.8;9.8;19.5
1.1;3.4;7.4;0.2;71.2;12.8;12.5
0.9;1.8;3.6;0.2;91.8;11.8;6.5
0.4;1.6;2.4;0.2;100;10;4.8
0.3;2.2;3.5;0.2;101.2;11;6.8
0.6;1.6;5;0.2;99;10;7.2
1.3;1.4;5.5;0.2;94.8;8;7.8
1.6;1;5.4;0.2;89.8;8.8;7
0.6;1.7;27.2;0.2;62.5;10;29.8
0.3;1.2;20.2;0.2;72;11;22.2
0.3;1.4;14.3;0.2;66;9;16.5
0.3;1.2;9.6;0.2;72.2;13.8;11.5
0.4;1.4;7.2;0.2;76.5;6.5;9.2
0.4;1;4.7;0.2;72.8;6;6.2
0.3;1.3;4.8;0.2;73;6;6.8
0.4;1;6.2;0.2;72.2;4;8
0.4;1;13.4;0.2;62;4;15
0.8;1.5;12.2;0.2;54.2;3;14.5
0.9;1.2;4;0.2;62.2;3;5.8
0.8;1.6;10.7;0.2;52;8.8;13
0.9;4.5;28.6;0.2;28.8;14.8;35.2
0.5;2.9;10.3;0.2;50.2;10.2;15
0.8;2.2;5.2;0.2;72.2;10;8.8
1.1;2.9;7.8;0.2;71.8;9;12
0.4;1.4;2.6;0.2;77.5;9;5
0.4;1.2;2.4;0.2;85.2;8.2;4.5
1;1.3;1.6;0.2;93.5;6;3.5
0.5;1.4;1.4;0.2;98.8;6;3.8
1.4;2.2;3.4;0.2;98.2;5.2;6.8
2.6;1.4;4.2;0.2;100.8;4.2;6.2
1.5;1.8;5.7;0.2;100.2;5;8.2
1.8;1.2;5;0.2;97.2;8.8;7
1.3;0.7;2.8;0.2;94;12.8;3.8
0.4;2.2;22;0.2;63;15.8;25.5
0.8;1.4;14.8;0.2;69.5;18.2;17
0.4;1.7;15.5;0.2;52.8;11.2;18.2
0.5;1;9.9;0.2;68.5;10.8;11.5
0.4;1;10.4;0.2;71.8;11;12
0.6;1.2;4.7;0.2;69.5;11;6.5
1.4;1.3;1.7;0.2;83.8;9.2;3.5
2;1.2;1.8;0.3;86.5;9;3.5
0.9;1.4;5;0.3;83.8;12.8;7
1.7;0.8;10.3;0.3;66.2;10.2;11.5
1.2;1.4;20.8;0.2;57.5;8.2;23
0.3;1.8;13;0.2;66.8;14.5;15.8
0.4;2.7;14.5;0.2;67.8;10.2;18.8
0.4;2.9;10.8;0.2;70.5;8.2;15.2
1.6;2.2;6.8;0.2;85;8;10.2
1.8;1.6;6;0.2;89;10.8;8.8
0.8;2;4.8;0.2;92.5;9;7.8
0.3;1.7;4.1;0.2;84.8;5.8;6.8
0.5;1.2;4;0.2;93.2;8.8;6
1.6;2;3.1;0.2;93.5;10.8;6.2
2.2;1.2;1.8;0.2;89;7.2;3.5
1.9;1.1;1.6;0.2;91;4.2;3.2
1;1.2;1.8;0.2;83.8;6.8;3.5
0.8;1.4;4.1;0.2;77.5;9.8;6.2
1.8;1;15.2;0.2;56;9.2;16.8
1.5;0.6;10.3;0.2;58.8;10;11.2
2.6;1;7.8;0.2;58.8;11;9.5
2.4;1.1;12.2;0.2;49;13;13.8
1.9;1;12.6;0.2;48.8;9;14
2.5;0.7;14.7;0.2;44.2;5;15.8
2.6;0.9;10.7;0.2;44.2;15.5;12
1.6;1.3;11.8;0.2;44;15.2;14
2.4;1.1;9.5;0.2;57;10.2;11
2.7;1.4;9.3;0.2;49.2;11;11.5
2.9;1.5;13.2;0.2;40.2;11.5;15.5
2.5;2.6;14;0.2;35;12;18
2.2;4.9;13.4;0.2;32;13.2;20.8
2.7;2.8;6.1;0.2;47.5;16;10.2
2.4;2.2;4.7;0.2;65.2;16;8
2.4;3.4;7.2;0.2;64.5;9.2;12.5
3;2.6;5.9;0.2;72.8;10;9.8
3;1.7;4.3;0.2;68.8;18.2;6.8
2.8;1.2;1.2;0.2;69.8;21.2;3
2.1;1.2;0.8;0.2;76.2;20;2.8
3.5;0.9;1.8;0.2;80.8;10.5;3.2
2.9;0.8;2.7;0.2;82.5;9;4
2.9;1;4.2;0.2;79;10;5.8
2.4;1.4;6.1;0.2;70.8;11.8;8.5
2.9;2.5;21.9;0.2;52.2;12;25.8
2.6;1.4;12.8;0.2;54.8;13.8;15
2.7;1.2;10.1;0.2;55.2;11.5;12
3.4;1.2;5.5;0.2;61.8;9;7.2
4.4;1.2;4.8;0.2;60.2;14.8;6.5
2.8;1.1;10.9;0.2;47;9.5;12.8
2.7;1.6;25.2;0.2;50;10;27.5
2.6;1.1;19.3;0.2;42.5;10;21
3;0.8;7.7;0.2;39.2;10;8.8
3.6;1.2;5;0.2;37.8;12;6.8
3.7;1.4;11.1;0.2;22.5;12;13.2
3.8;1;11.1;0.2;14;11.2;12.5
3.9;3.4;10.7;0.2;17;16.8;16
3.4;5.7;10.5;0.2;29.2;19;19.2
4;4.4;9.2;0.2;45.2;25.8;16
4.4;3.6;7.4;0.2;55.5;17.5;13
4.3;2.5;6.8;0.2;77;11.5;11
4.3;1.7;5.8;0.3;92;14;8.5
4.2;1.8;6.6;0.3;98;14;9.2
4.2;1.8;4.7;0.3;105.5;15.8;7.5
3.9;1.8;9.3;0.3;105;24.5;12.2
3.2;2;10.3;0.3;104;21.2;13.5
3.8;2.3;19.9;0.3;87.8;29.5;23.5
4.2;4;42.8;0.3;50.5;23.2;49
3.3;2.8;33.7;0.3;48.5;24;38.2
5.3;1.4;19;0.3;58.5;24;21.2
5.7;1.8;12.5;0.2;62;17.2;15.2
5;1.1;11.2;0.3;63.8;19;12.8
3.6;1.2;10.8;0.3;62;14.5;12.8
3;1.2;10.2;0.2;56.8;15;11.8
2.6;1.6;8.6;0.2;57.2;21.2;11.2
2.8;0.7;8;0.2;54;19.2;9
2.4;1.1;5.6;0.2;56.5;14.2;7.2
3.2;0.6;5.4;0.2;59.2;13;6.2
3.4;1.2;11.5;0.2;47.5;15;13.8
2.8;1.6;10.8;0.2;51;17;13.2
3.4;2.5;10.2;0.2;48;17;14.2
3.6;2.8;8.8;0.2;48.8;17.5;12.8
1.5;2.6;5.1;0.2;61.5;16;9
2;2.5;5;0.2;71.2;19.2;9
3.6;2;3.2;0.2;85.2;20;6.5
2;1.5;1.4;0.2;100.8;15.2;4
2.4;1.1;2.1;0.2;103.2;18.8;3.8
2.2;0.8;3.1;0.2;103.8;16.2;4.2
3.4;1.4;4.4;0.2;105.2;17;6.8
3.6;1.4;5.8;0.3;102.2;14.2;7.8
3.8;1.8;5.4;0.2;105.5;22.5;8.2
3.2;1;9.1;0.3;96.8;18.2;10.8
3.8;1.2;9.6;0.3;88;26.5;11.5
3.4;0.9;6.3;0.2;83;17.5;7.5
3.4;1.4;5.2;0.2;75;16;7.2
2.9;1;2.8;0.2;71;14;4.5
3.1;0.8;2.8;0.2;64.5;16.8;4
2.4;0.9;2.3;0.2;66.8;18;3.8
2.3;1.2;2.5;0.2;65.2;24.5;4.2
4.2;0.8;1.6;0.2;62.8;20.8;3
3.7;0.7;2.3;0.2;63.5;13;3.5
3;1.2;3.3;0.2;56.8;16.8;5.2
3.7;0.9;2.5;0.2;52.2;21.8;3.8
5;1;2.4;0.2;54.5;10.8;4.2
5.4;1.1;2.6;0.2;53.2;10;4.2
4.6;1.2;1.6;0.2;55.5;18.5;3.5
3;1.1;1.4;0.2;62.8;18;3
2.4;1.4;1.3;0.2;68.5;11.5;3.2
2.9;1;2.1;0.2;72.2;12;3.8
1.8;1.3;1.1;0.2;78.2;15.8;2.8
1.9;1.4;1.4;0.2;82.5;16.8;3.5
2.1;1.6;1.5;0.2;85.2;7.5;4
2.2;1;3.3;0.2;82;14.5;4.8
3;1.3;5.6;0.2;78.8;11.2;7.5
3.1;1.2;5.4;0.3;78.8;9;7.2
2;1.3;5.1;0.2;79.2;7.2;7
2.3;1.4;8.1;0.3;72.5;9.8;10.2
2.1;1.4;8.4;0.2;69.8;9;10.5
1.7;1.3;4.9;0.3;77;6;7.2
2.3;1.6;2.9;0.2;79.2;9.8;5.2
2.3;0.8;2.4;0.2;85.2;10;3.5
3.3;1.3;1;0.3;90.8;5.2;2.8
3.4;1.2;1.3;0.3;91.2;6;2.8
2.8;1.4;1.2;0.2;91.2;7;3.2
1.7;0.8;1.1;0.2;90.5;4.2;2
1.4;1.4;2;0.2;90.5;4;4.2
1.6;1.3;5.1;0.2;82.5;7.8;7
1.5;1.8;10;0.3;68.8;8;12.5
2.4;2.7;18.4;0.3;61;14.5;22.5
1.8;2.6;10.8;0.2;78.2;16;15
0.5;1.3;3.2;0.2;86.8;8.5;5.2
0.9;2;3.4;0.2;85.2;9;6.5
1;1.8;3.2;0.2;88.5;8;6.2
1.5;1.4;2;0.2;94;7;4.5
0.9;1.6;2.1;0.2;96.2;6;4.5
1.9;1.7;2.7;0.2;98.5;7;5.5
2.9;1.5;4.4;0.2;96.2;8;6.8
2.6;1.3;3.4;0.2;96;8;5.2
1.4;1.2;2;0.2;91.8;7.2;3.8
0.5;1.3;3;0.2;82.8;9.5;5
1.8;1.3;9.5;0.2;70.8;11;11.2
4.2;1.4;21.1;0.2;50.8;14;23.5
3.3;0.7;15.8;0.2;51.2;15.5;16.8
2.9;0.8;9.7;0.2;55;8.5;11
2.6;1.4;9;0.2;56.2;10.8;11
2.8;1;4.9;0.2;63.2;14;6.2
3.7;1.4;8.4;0.2;55.2;19.2;10.8
2.4;1.6;14.7;0.2;44.5;11.5;17.2
2.4;1.3;10.9;0.2;38.2;9.2;13
2.4;1.1;11.4;0.2;39.2;9;13
2.3;2.2;19.8;0.2;26.2;11.8;23
3.8;4.3;21.8;0.2;23.5;18.5;28.5
3.4;6.4;17.5;0.2;34.5;15.2;27.5
3.1;4.5;9.7;0.2;45.5;10.2;16.8
2.5;7.1;15.1;0.2;52.2;15.8;26
2.3;6.1;14.4;0.2;65.8;19.8;23.8
3.1;5.7;14.6;0.2;65.5;14.2;23
3.7;5.2;13.4;0.3;65.8;19.8;21.5
3.9;2.3;7.8;0.2;86;22.8;11.5
4.5;1.2;2.6;0.2;100.8;23.2;4.5
3.7;1.4;4.3;0.2;99.5;23;6.8
4.3;1.8;7.3;0.2;92.8;27.8;10.2
4.7;1.5;8.8;0.2;93.8;26;11
4.6;1.4;23.4;0.3;74.2;28.8;25.5
3.8;4.6;59.2;0.4;37.5;37.5;66
3.5;1.3;21.7;0.3;70;33;23.8
3.7;0.6;9;0.2;79.2;33.8;10
3.5;0.8;7.8;0.2;74;36.5;8.8
2.8;2.2;10.2;0.2;54.2;31.5;13.2
3;1.2;14.5;0.2;45.5;27.5;16.5
2.2;1.1;12.7;0.2;46.5;35.5;14.2
3;0.8;13.7;0.2;40.5;27.5;14.8
2.6;1.4;12.1;0.2;39;30;14.2
3.2;1.2;11.3;0.2;37.2;27.2;13
3.6;2.1;13.4;0.2;28.8;33.5;16.5
3.3;1.8;12.9;0.2;33.2;28.2;15.8
4.4;5.2;12.8;0.3;24.2;29;21
2.2;6.4;17.6;0.2;40.8;39.2;27.5
3.4;4.1;11.2;0.2;69.5;29.2;17.2
3.2;2.7;10.1;0.3;84;25.2;14.2
2.9;2.1;8.7;0.3;99;28.8;11.8
3;1.8;6.6;0.3;114;18.8;9.5
1.9;1.6;6.4;0.2;111;27.5;8.8
1.8;1.8;5.8;0.3;110.8;25.2;8.8
2.3;1.1;5.2;0.2;111.2;25;7
2.9;1.6;9.8;0.3;106;26.5;12.2
2.8;1.6;13.4;0.3;102;25.2;15.8
3.8;1.5;21.6;0.2;86.5;29.8;24
3.3;1.4;28.8;0.3;67.8;30;30.8
3.5;0.9;7.7;0.2;83.2;36.5;9
3.5;4.1;28.1;0.3;50;28.5;34
3.2;4.3;31.4;0.3;42.5;29;38
3;1;14.6;0.3;55.2;32;16.2
3;1;15.2;0.3;48.5;28.2;16.8
4.7;1.4;12.4;0.2;51.2;32.8;14.5
1.8;1.3;11.5;0.2;51;25.5;13.5
2.9;1.6;8;0.2;57.8;23.2;10.2
4.2;1;8.8;0.2;52.5;25.8;10.2
3.2;3.2;14.4;0.2;34.5;18.5;19
2.6;1.4;7.5;0.2;49.5;28.5;9.8
4.1;8.2;14.1;0.2;29.8;19.8;26.8
3.4;4.2;11;0.2;62.2;23;17.5
3.6;5.5;18.8;0.3;72.2;23;27.2
2.4;3.3;11.5;0.3;91;28.8;16.2
3.7;1.2;3.6;0.2;116;23.2;5.2
2.6;1.6;3.6;0.2;122;23;6
2;1.7;3.4;0.2;132.2;22.2;6
2;1.6;3.4;0.2;128.8;19.5;5.5
2.7;1.4;4.8;0.2;129.5;15.2;6.8
2;1.6;6.5;0.2;125;20.8;8.8
2.2;1;8.9;0.2;120.8;23.8;10.5
2.7;2;25.8;0.2;97.2;28.5;28.5
1.6;1.6;18.9;0.3;98;23.2;21.2
2.3;5.3;39.7;0.3;62.5;32.5;47.8
1.9;0.9;3.4;0.2;98;24.5;5
2;1.6;16.9;0.2;76.2;12;19.2
3.2;1.2;9.9;0.2;68.5;26;12
2;1.7;10.4;0.2;63.2;28;13
1.3;2.2;35.1;0.2;65;20.2;38.5
0.9;1.1;13.2;0.2;64.5;18.2;15.2
1.4;2;21.2;0.2;43.2;19;24.2
1.3;5.2;24.5;0.2;50;19.8;32.5
1.6;3.6;29.3;0.2;45.8;15.2;35
2.1;3.7;16;0.2;48.2;17;21.8
3.6;8.2;27.9;0.2;17.8;20.5;40
2.6;2.6;12.7;0.2;56.2;30;16.8
3.6;3.9;10.9;0.2;74.5;16.8;16.8
5.4;7.4;21.4;0.2;67.2;15;32.5
5.8;5.4;20.1;0.2;86.5;26.2;28.2
3.2;1.2;3.5;0.2;119.5;24.2;5.5
3.6;0.8;1.5;0.2;125;23;3
2.2;1.6;2.1;0.2;122;21.2;4.5
4;1.8;4.9;0.2;132.2;16;7.5
6;2.1;10.5;0.2;125;19.8;13.8
4.2;1.4;8;0.2;125.8;23.8;10
3.9;1.2;7.6;0.2;127.5;29.5;9.2
2.6;1.2;7.8;0.2;134.5;23.2;9.8
3;3;22.8;0.2;94;32.2;27.2
2.7;1.1;11.8;0.2;111.8;26.5;13.5
3.9;2.8;20.4;0.2;81.8;21.2;24.8
1.6;1.5;20;0.2;82.2;24.8;22.5
0.8;1.1;20.4;0.2;88;26.8;22
1.6;1.1;10.1;0.2;78;28;11.8
1;1.2;7.1;0.2;78;26;9
2.1;1.2;8.4;0.2;66.8;26;10
1.7;1.7;12.6;0.2;57.8;25;15.5
3.4;1.7;18.6;0.2;42.8;30.8;21.2
2.2;2.1;15.5;0.2;43.2;27.2;19
6.1;8.3;22;0.2;33;29.8;34.5
8.1;10.4;23.1;0.2;33.2;38.5;38.8
4.8;4.5;12.7;0.2;58.2;36.2;19.8
4.4;1.6;4.6;0.2;88;40.8;7
3.9;2.5;9.4;0.2;89.2;52.2;13.2
2.6;1.4;4.2;0.2;117.2;53;6.2
2.7;1.8;1.7;0.2;117.5;47.2;4.2
1.2;1.1;0.5;0.2;118;32;2.2
2.6;1.2;0.7;0.2;120.8;32;2.8
2.9;0.8;1.6;0.2;131.2;35.2;3
3.2;0.6;3.1;0.3;148.8;39.8;4
4.2;0.8;5.1;0.3;132.5;52.2;6.5
4;0.7;6.6;0.2;118;35.5;7.5
2.8;1.1;5.1;0.2;105.5;21.8;7
5.2;1;11.2;0.2;85;31.2;12.5
5.8;0.9;16.3;0.2;74;24;17.8
4.2;0.6;3;0.1;91.8;13.8;4
3.2;0.6;0.4;0.1;95.8;13;1.2
3.4;1.1;2.3;0.2;88.8;10.5;4.2
2.8;0.9;1.2;0.2;87.5;11.2;2.5
3.6;0.9;0.8;0.1;87.8;17.8;2.2
3.6;1;3;0.1;84.2;14.2;4.5
2.1;0.7;1.1;0.2;83.2;11.5;2.2
2.8;1.3;6.2;0.1;76.5;15.8;8
2.4;1.2;2.6;0.1;86.2;17;4.5
3.4;1.7;5.6;0.1;86;13.8;8
1.8;1.2;1.6;0.1;89.5;13;3.2
2.2;1.4;3;0.1;89.5;11;5.2
1.2;1.3;1;0.1;96;10.8;3
2.6;1.3;1;0.1;99.8;11;3.2
2.3;1.3;1.7;0.1;102;9.2;4
2.6;1.4;1.7;0.1;103;9;4
2.8;1.4;1.6;0.1;101.5;11;3.8
2.8;1.2;0.3;0.1;99.2;11;2.2
2;1.3;0.6;0.1;92.5;9.5;2.8
2.1;0.8;1.2;0.2;86.5;15.5;2.5
4.5;1;4.4;0.1;82;8.5;5.8
3.6;1.4;4.8;0.1;79.8;9;7
2.2;1.2;1.8;0.1;82;9;3.5
2.4;0.8;3.2;0.2;78.8;8.8;4.2
1.2;1.1;3;0.2;79.8;8;4.8
2.1;1.5;1.2;0.2;78.5;8;3.5
2.4;1.2;2.2;0.2;76.8;10;4
2.4;1;1.2;0.2;81.5;9;2.8
1.4;1.4;0.6;0.2;90.8;7;2.8
1.2;1.1;5.8;0.1;87;8.2;7.8
2.3;1.4;10.8;0.2;83.5;7.2;13
3.4;1.6;9.5;0.2;86.2;6;12
1.9;1.7;4.3;0.1;92.8;10.5;7
1;1.9;4;0.1;93.8;12;7
2.5;1.7;4.4;0.1;94;9.5;6.8
2.8;1.6;3.2;0.1;95.8;5.2;5.8
2.6;1.5;2.3;0.1;100;4.2;4.8
2.4;1.4;2.7;0.1;100.8;5;5
2.5;1.4;2.3;0.1;104.2;5;4.5
3.4;1.4;3.6;0.1;96.5;7.8;5.8
2.6;1.3;2.2;0.1;101.2;16.5;4.5
4.1;1.4;2.8;0.2;102.8;4.2;5
2.6;1.2;1.8;0.2;103.2;6.8;3.5
2.4;1.4;2;0.1;104.2;10.8;4
3.2;1.4;6.7;0.1;94.2;11;8.5
3.4;1.2;5.2;0.1;91.8;14.5;7
2.5;1.3;6.3;0.2;92.5;11;8.2
2.4;1.2;5.7;0.2;93.5;9;7.5
2.3;0.9;4.5;0.2;88.2;3.2;6
2.6;0.9;2.6;0.2;94.2;3;4
1.6;1;2.8;0.2;92.2;15.2;4.5
1.4;1.9;2.6;0.2;90.2;16;5.5
1.1;1.1;3.2;0.2;86.2;14;5
1.6;1.2;2;0.2;89.8;13.2;3.8
2;1.3;5.4;0.2;83.2;13;7.5
1.8;1.1;6;0.2;78.2;10;7.8
2.3;1.2;5.3;0.2;79.8;8;7.2
1.8;1.5;3.5;0.1;88.8;10;6
0.6;1.8;3.8;0.1;90.5;9;6.2
2.1;2.2;3.4;0.1;91.5;11;6.8
3;1.9;2.8;0.2;93;12;6
1.6;1.6;3.2;0.2;95.5;11.2;5.8
0.8;1.3;1.7;0.2;97.5;9;3.8
1.9;1.3;3.2;0.2;95.2;13.8;5.2
2.5;1.7;2.8;0.2;90.8;3.5;5.5
1.7;1.3;2.5;0.2;88.2;4;4.8
2;1.2;3.2;0.1;86;6.8;5
1.9;1.4;7.4;0.1;78;9;9.5
1;1.7;10.4;0.2;73.5;12;13.2
2.6;1.3;5.8;0.2;72.2;14;8
3;1.4;3.5;0.2;69.8;12;5.5
2.6;1;2.7;0.2;70.5;8;4.2
4.4;1.2;4;0.2;67.8;8;6
3.2;1.7;5.8;0.2;57.8;10.8;8.5
3.5;1.1;5.4;0.2;57.8;10;7.2
4.1;1;5.3;0.2;56;7.2;7
3;1.3;4.8;0.2;55;8;6.8
3.1;1;8.8;0.2;50;15.8;10.2
3.4;2.1;19;0.2;34;11.2;22.5
4.9;5.8;23;0.3;29;11;31.8
3.8;3.5;9.2;0.2;50.2;16;14.8
5.2;5.8;12.5;0.2;59.2;24.5;21.2
5.4;4.4;10.5;0.2;74.8;14.5;17.2
3.6;3;7.1;0.2;84.5;17.8;12
4.3;2.9;6.4;0.2;95.2;15.2;11
4;2.5;5.7;0.2;103.8;18.5;9.8
3.7;1.7;3.6;0.2;122.5;27.5;6
2.6;1.8;2.9;0.2;128.8;22.2;5.5
4;1.6;5;0.2;135.5;11.5;7.5
2.4;1.4;1.6;0.2;146.5;10;3.5
1.6;1;1.2;0.2;142.2;10.2;2.8
2.5;1;1.5;0.2;139;12.8;2.8
4.4;2.1;23.7;0.3;106;21.5;27
3.8;1.6;18.3;0.2;94.5;31.5;20.5
3.6;1.5;7.5;0.2;103.5;30.2;10
3.9;1.5;12.4;0.2;95;17.8;15
3.4;1.6;15.3;0.2;77;21.8;17.8
2.6;1.7;9.5;0.2;81;25;12
2.2;0.8;7.6;0.2;75.2;22.2;8.8
2.8;1;11.9;0.2;54.2;18.2;13.5
3.4;1.5;15.6;0.2;53.2;20;18
3.5;1.6;13.1;0.2;58.2;16.2;15.8
3.8;2.2;24.4;0.2;35.8;17;27.8
3.9;5;23.1;0.2;38;17;31
3.5;6.2;22.2;0.2;46.5;20.8;31.8
3.6;2.7;9.2;0.2;83.2;21.5;13.5
4;2.3;5.8;0.2;100.2;23;9.5
4;1.2;3.4;0.2;112.8;18.2;5.2
3.8;1.7;3.1;0.2;118.2;13.2;5.8
2.5;1.6;1.7;0.2;121.8;19.8;4.2
2.9;1.5;1.4;0.2;126;27.5;3.8
3.3;1.6;0.8;0.2;126.8;28;3.2
3.4;1.2;1.4;0.2;127.2;13.8;3.2
2.5;1.3;1.1;0.2;122.8;31;3.2
2.9;1.4;2.4;0.2;120.2;17.8;4.5
4.4;1.4;9.5;0.2;105.5;30;11.5
4.4;1.7;9.2;0.2;107.2;34;12
3.9;1.4;7.3;0.2;104.5;19.8;9.8
3.6;1.4;7.6;0.2;95.5;11.2;10
3.1;1;6;0.2;90;11;7.5
2.6;1.4;7;0.2;89.2;10;9.2
3;1.2;5.9;0.2;86;18.5;7.8
3.2;1.4;5;0.2;89.8;17;7.2
2;1.5;5;0.2;93.5;;7.2
2.5;1.4;10;0.3;87.2;11;12.2
3.5;1.6;9;0.3;86.5;15.8;11.5
3.7;1.3;12.7;0.3;79.2;19.8;14.8
3;1.4;8;0.3;90.5;21;10.2
3.1;1.9;7;0.2;94.8;18.2;9.8
3.4;1.9;7.8;0.2;96.8;18;10.8
1.7;2;3.3;0.1;103.5;24.8;6.5
1.7;2.1;3.8;0.2;109;19.5;7
1.6;1.6;1.7;0.2;116;13.5;4
2.8;1.4;1.2;0.2;115;13;3.2
3;1.8;1.7;0.2;114;14.5;4.5
2.4;1.5;1.7;0.2;115.2;17.8;4
3.5;1.6;1.7;0.2;115.8;18;4.5
3.2;1.5;2.8;0.2;114.2;14;5
3.4;1.8;1.5;0.2;116;17.5;4.2
2.4;1.4;2.3;0.2;112.2;19;4.2
3.1;1;4.5;0.1;108;18;6
3.2;1.7;6.3;0.2;101;17;9
2.2;0.8;4.6;0.2;101.5;17;6
2.6;1.3;3.1;0.2;101;15.2;5.2
2.8;1.1;4.7;0.2;96.5;12.2;6.2
3;1;3.7;0.2;94.8;15.8;5
2.6;1;8.6;0.2;77;14.2;10.5
2.2;1.5;5.4;0.2;80;13;7.8
3.5;1.2;5.5;0.2;79;13;7.5
2.1;1.2;4;0.2;75.2;21.5;6
2.3;1.2;5.8;0.2;70.2;15.2;7.8
3.2;2.1;7.6;0.2;69;21.5;10.8
3.4;2.5;11.4;0.2;72.5;17.2;15
4;3.3;11.4;0.2;85.2;22.5;16.2
3.6;1.4;2.2;0.2;103.2;20.8;4.2
2.9;1.2;1.6;0.2;105.2;23.8;3.5
2.3;1.2;1.6;0.2;110.2;26.2;3.5
1.6;1.1;1.4;0.2;117.2;29.8;3.2
2.6;1.4;1.9;0.2;122.5;21.5;4
2.8;1.6;1.5;0.2;123.5;24.5;3.8
2.5;0.7;1.3;0.2;122;20.2;2.5
3.2;0.9;2.2;0.2;127.2;23.5;3.5
2.8;1.2;2.5;0.2;126.8;22;4.2
3.7;1.3;4.8;0.2;121;27.8;7
3.9;1.4;9.6;0.2;113.5;24.2;11.8
2.6;1.4;14.6;0.2;94.2;18.2;16.8
3;0.9;8.9;0.2;92.5;37.2;10.2
2.7;1.6;5.8;0.2;91;29.5;8.2
2.2;1.4;4.8;0.2;89;27;7
2;1.2;3.1;0.2;84.8;28;5
1.5;1.4;4;0.1;77.2;17.5;6.2
1.5;1.4;4.2;0.2;73.5;20.8;6
2.8;0.7;3.4;0.2;72.8;22.2;4.2
1.6;1.2;4.6;0.1;70.8;16.2;6.5
1;1.2;3.3;0.1;75;25;5.2
2.3;1.6;3.5;0.1;77.8;15;6.2
2.4;1.6;3.8;0.2;83.5;17.8;6.2
3.5;1.6;2.1;0.2;101.5;16.2;4.5
2.1;1.3;1.4;0.2;103;17;3.2
2;1.2;1.1;0.2;111;12.2;3
3.1;1.5;0.5;0.2;120.2;25.2;2.8
2.6;1.1;0.5;0.2;122.8;18.5;2.2
2.7;0.9;0.6;0.2;123.2;19.8;2
3.3;1.5;0.5;0.2;126.5;20;2.8
3.4;1.2;0.7;0.2;125;14.2;2.5
2.4;1.1;1;0.2;122.8;13.5;2.5
3.2;1;1.4;0.2;124.5;13.5;3
2.4;0.9;3.2;0.2;116;15;4.8
2.2;1.6;3.2;0.2;110;22.5;5.8
1.9;1.4;3.4;0.2;107.2;26;5.5
2;1.5;4.4;0.2;101;17.5;6.8
3.4;1.4;4.3;0.2;98;20.8;6.2
2.5;1.5;3;0.2;96.5;18.8;5.2
3.9;1;2.4;0.1;91.8;14;3.8
3.4;1.5;3;0.2;87.5;20.5;5.2
3.2;1;3;0.2;84.8;18;4.5
2.1;1.2;3.2;0.2;89.5;13.5;5
2.7;1.4;7.4;0.2;83.5;18.8;9.8
2.2;1.2;10.5;0.2;80.8;20;12.5
