SO2 (µg/m3);NO (µg/m3);NO2 (µg/m3);CO (mg/m3);O3 (µg/m3);PM10 (µg/m3);NOx (µg/m3)
2.4;3.3;12.4;0.3;9.2;19;17.5
2.9;3.4;12.8;0.3;12.2;28;18
1.9;4.4;11.6;0.3;14.8;23;18.5
3.1;4.7;12;0.3;14.8;21;19
3.2;3.3;10.5;0.3;22.5;30;15.8
2.2;2.6;10.2;0.2;24.8;18;14.2
2.4;2;9.6;0.2;28.5;22;12.8
3.5;1.4;12.4;0.2;21.8;23;14.5
3;1;11.8;0.2;20.2;23;13.5
1.7;1.3;13.3;0.2;19.5;12;15.2
2.9;0.8;13.4;0.2;21.2;17;14.8
2.2;1.2;13.2;0.2;21;18;15
2.3;1;11;0.2;24.8;15;12.5
2.6;1.2;10.3;0.2;24.8;7.8;12
3.1;1.4;12;0.2;19;10;14
2.2;1;10.6;0.2;21.2;11;12
3.8;1;10.6;0.2;23.8;16;12.5
3;0.8;7;0.2;32.8;26.8;8
2.7;1;5;0.2;40;10;6.5
3.2;1;4;0.2;45.5;17;5.5
1.7;0.9;3.8;0.2;52.2;12;5.2
1.2;1.2;6.5;0.2;48;23;8.2
2.2;1.1;7.7;0.2;47;18.8;9.2
1.8;1;6.3;0.2;45.2;31;7.8
1.8;1.7;10;0.2;37.8;27.8;12.5
2.3;1.1;7.4;0.2;41.5;29;9.2
2.5;1.2;7.7;0.2;42.2;30;9.5
1.6;0.9;5.6;0.2;54.5;30;7.2
1.6;1.5;5.7;0.2;53.8;23;8
2.6;1.9;7;0.2;54.5;20.5;9.8
3.5;1.6;8.2;0.2;56;25.5;10.8
2.2;1.2;12.2;0.2;47;21;14
2.3;1.3;11.2;0.2;48.8;14;13.2
1.2;1.2;12.6;0.2;51.5;19;14.5
1.9;0.9;9.4;0.2;54;24;10.5
3.1;1;5.2;0.2;55.8;20.5;6.8
3;0.9;7.4;0.2;60;15.2;8.5
3.2;1.2;6;0.2;72.8;23.5;7.8
1.4;0.8;8.2;0.2;68.5;10;9.5
1.7;1.1;6.7;0.2;62;15;8.5
2.3;1;5;0.2;64.8;10;6.8
2.1;1.2;6;0.2;61.2;8.8;8
2.4;0.9;3;0.2;70.5;15;4.5
2.5;1.2;5.4;0.2;63.8;9.8;7.2
2;1.1;7.5;0.2;57.5;21;9.2
2.4;1;8.3;0.2;57.5;13;10
2.4;1;7;0.2;63;13;8.8
1.6;1;9.7;0.2;64.2;14;11.5
2.1;1.2;7.9;0.2;64.5;;9.5
1.6;1;6.8;0.2;65;;8.5
1;1.6;7.5;0.2;66;;10
1.4;2;13.6;0.2;63;;16.5
1.3;1.6;7.4;0.2;70.8;;9.8
1.4;1.4;7.2;0.2;71;;9.2
1.3;0.9;6.6;0.2;72.8;;8
1.9;1.4;14.3;0.2;56.2;;16.2
2.3;0.9;10.6;0.2;56.5;;12
1.1;1.3;14.2;0.2;54.5;;16.2
1.4;0.9;11.3;0.2;51;;12.5
1.8;1.4;17.1;0.2;37.5;;19.5
2;1;10.2;0.2;48;;11.8
1.4;1.3;5;0.2;67.2;;7.2
1.9;1.1;4.3;0.2;66.5;;6
2.2;1.1;4;0.2;72.8;;5.8
2.7;1;4.1;0.2;70.8;;5.5
2;1.4;3.7;0.2;74.2;;5.8
1.6;1.1;4.5;0.2;69.5;;6.2
1.8;1.1;6.8;0.2;65;;8.2
1.9;1.5;10.8;0.2;65.5;;12.8
