Date;CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
19/09/2015;0,23;0,23;7;19;30;48;49;25;;6
18/09/2015;0,24;0,24;16;21;46;44;42;20;8;5
17/09/2015;0,26;0,24;6;20;29;51;54;16;;7
16/09/2015;0,19;0,2;4;12;18;62;62;14;;5
15/09/2015;0,25;0,24;12;20;39;47;45;18;9;4
14/09/2015;0,17;0,17;4;14;21;60;61;14;5;4
13/09/2015;0,23;0,23;3;12;16;60;59;21;9;7
12/09/2015;0,23;0,23;3;10;15;66;70;19;;4
11/09/2015;0,22;0,22;22;20;55;53;46;36;20;6
10/09/2015;0,25;0,26;5;20;29;58;68;26;;5
09/09/2015;0,27;0,28;12;26;44;59;51;45;26;7
08/09/2015;0,32;0,3;16;29;53;42;46;43;21;7
07/09/2015;0,29;0,29;11;23;39;44;46;38;15;6
06/09/2015;0,21;0,21;6;19;27;49;50;33;;5
05/09/2015;0,17;0,16;3;10;15;58;63;12;5;4
04/09/2015;0,15;0,15;4;11;17;63;63;10;3;4
03/09/2015;0,18;0,19;4;15;21;62;62;11;4;3
02/09/2015;0,19;0,19;4;15;21;58;52;16;7;4
01/09/2015;0,2;0,22;4;12;18;59;64;13;4;3
31/08/2015;0,25;0,24;4;14;20;71;71;23;7;4
30/08/2015;0,19;0,18;3;6;10;94;97;25;8;4
29/08/2015;0,18;;3;9;13;83;74;17;5;4
28/08/2015;0,21;;12;17;36;54;52;24;;5
27/08/2015;0,26;0,27;7;20;32;51;50;27;;5
26/08/2015;0,27;0,28;3;15;20;73;71;22;9;4
25/08/2015;0,26;0,22;7;17;28;49;50;23;10;5
24/08/2015;0,2;0,21;5;11;18;57;61;12;5;4
23/08/2015;0,19;0,2;3;8;13;70;71;8;2;6
22/08/2015;;;3;11;16;74;76;23;;4
21/08/2015;;;15;20;43;69;65;28;;4
20/08/2015;;;3;13;19;71;69;21;9;4
19/08/2015;0,24;0,24;6;14;23;47;48;21;;4
18/08/2015;0,22;0,23;5;16;24;47;49;25;;5
17/08/2015;0,21;0,18;3;8;13;58;60;14;5;3
16/08/2015;0,23;;4;8;14;41;37;17;9;4
15/08/2015;0,16;0,17;3;6;11;44;49;9;;3
14/08/2015;0,18;0,17;3;8;13;67;68;10;;3
13/08/2015;0,2;0,21;4;12;18;64;65;14;3;4
12/08/2015;0,25;0,24;5;15;23;71;75;40;;3
11/08/2015;0,26;0,26;7;17;28;67;62;34;;4
10/08/2015;0,28;0,27;7;14;24;55;52;22;9;3
09/08/2015;0,17;0,16;3;9;13;51;51;12;4;3
08/08/2015;0,17;0,17;3;9;14;54;60;9;3;3
07/08/2015;0,21;0,21;4;8;14;61;60;11;2;3
06/08/2015;0,26;0,26;3;11;16;68;66;19;7;3
05/08/2015;0,23;0,24;5;11;18;64;62;23;8;3
04/08/2015;0,25;0,24;4;11;17;48;51;12;;3
03/08/2015;0,21;;19;27;56;62;;26;;4
02/08/2015;0,24;0,24;27;23;64;70;59;17;8;4
01/08/2015;0,21;0,21;16;16;41;75;82;15;6;4
31/07/2015;0,24;0,23;6;13;22;63;55;13;7;3
30/07/2015;0,16;0,15;9;17;30;50;55;16;7;3
29/07/2015;0,19;0,2;10;12;28;40;37;22;10;4
28/07/2015;0,18;0,17;6;9;18;57;57;14;;3
27/07/2015;0,24;0,25;6;10;19;46;46;17;4;3
26/07/2015;0,18;0,16;4;6;13;58;57;11;;3
25/07/2015;0,19;0,21;4;6;12;65;68;13;3;3
24/07/2015;0,23;0,23;7;14;25;51;50;19;5;4
23/07/2015;0,27;0,26;8;11;22;50;53;15;6;3
22/07/2015;0,24;0,25;6;11;20;44;43;10;;3
21/07/2015;0,27;0,26;7;12;23;38;39;19;;3
20/07/2015;0,33;0,33;8;14;26;59;58;25;18;4
19/07/2015;0,23;0,22;4;8;15;47;49;16;;3
18/07/2015;0,25;0,26;5;10;17;56;57;19;;3
17/07/2015;0,34;0,36;6;16;26;52;51;27;;3
16/07/2015;0,34;0,33;20;20;51;58;;31;;3
15/07/2015;0,29;0,28;7;14;25;56;55;26;;4
14/07/2015;0,18;0,18;4;8;15;65;65;14;;3
13/07/2015;0,21;0,21;9;13;26;54;51;18;;4
12/07/2015;0,23;0,23;4;6;12;58;60;9;;3
11/07/2015;0,21;0,2;4;6;11;65;69;15;;3
10/07/2015;0,26;;8;16;28;79;72;38;17;7
09/07/2015;0,24;0,24;5;10;18;64;66;15;;3
08/07/2015;0,25;0,24;5;8;15;57;52;8;1;3
07/07/2015;0,22;0,23;6;15;25;59;65;23;;4
06/07/2015;0,28;0,27;6;16;25;76;71;26;;3
05/07/2015;0,2;0,2;4;5;11;50;48;12;;3
04/07/2015;0,24;0,24;5;10;18;59;65;22;;4
03/07/2015;0,17;0,17;5;10;17;88;81;26;8;4
02/07/2015;0,19;0,19;5;8;16;50;51;10;;3
01/07/2015;0,23;;5;14;22;77;80;27;;3
30/06/2015;0,31;0,31;5;17;25;102;97;24;;4
29/06/2015;0,25;0,23;6;15;23;60;62;19;;4
28/06/2015;0,24;0,24;6;10;19;44;43;19;;4
27/06/2015;0,19;0,2;5;12;19;53;59;24;;4
26/06/2015;0,25;0,25;15;27;50;70;64;26;;4
25/06/2015;0,24;0,22;15;31;54;54;59;37;;6
24/06/2015;0,21;;8;16;28;44;42;24;;4
23/06/2015;;;8;13;25;45;51;22;11;4
22/06/2015;0,3;0,3;6;14;23;59;54;25;;4
21/06/2015;0,21;0,22;5;14;22;59;62;27;;5
20/06/2015;0,22;0,23;5;11;19;56;50;23;;5
19/06/2015;0,29;0,28;7;14;25;40;47;13;;4
18/06/2015;0,27;0,27;6;18;27;68;66;29;;6
17/06/2015;0,2;0,19;5;16;24;76;79;23;;4
16/06/2015;0,19;0,18;5;13;21;74;74;16;;4
15/06/2015;0,17;0,17;5;13;21;66;60;14;;4
14/06/2015;0,21;0,21;4;9;16;65;67;12;;4
13/06/2015;0,2;0,21;4;10;16;65;68;10;;4
12/06/2015;0,23;0,23;5;12;19;75;75;15;;4
11/06/2015;0,21;0,21;5;16;24;77;72;15;;4
10/06/2015;0,25;0,24;6;25;34;50;55;18;;4
09/06/2015;0,2;0,21;4;13;20;95;95;27;15;4
08/06/2015;0,21;0,19;5;13;21;67;62;23;;4
07/06/2015;;;4;5;12;57;58;12;5;4
06/06/2015;0,14;;4;6;12;60;61;9;4;4
05/06/2015;;;10;22;37;65;68;24;;5
04/06/2015;0,26;;11;19;36;73;69;35;10;6
03/06/2015;0,22;0,2;5;13;21;57;60;15;8;4
02/06/2015;0,14;0,14;9;14;28;51;48;18;9;4
01/06/2015;0,16;0,15;6;13;22;42;44;14;7;4
31/05/2015;0,2;0,2;5;10;17;53;54;22;;5
30/05/2015;0,18;0,18;6;13;21;53;52;23;16;4
29/05/2015;0,14;0,15;5;14;21;67;73;17;6;4
28/05/2015;0,22;0,21;9;20;34;61;57;35;;7
27/05/2015;0,15;0,15;5;15;23;74;79;20;10;4
26/05/2015
25/05/2015;0,19;0,2;6;14;24;52;54;8;;4
24/05/2015;0,22;0,21;4;7;13;56;55;6;;4
23/05/2015;0,16;0,16;4;7;13;78;81;9;4;4
22/05/2015;0,25;0,24;10;15;31;75;73;16;6;4
21/05/2015;0,17;;5;11;19;75;76;10;5;4
20/05/2015;0,15;0,15;6;15;24;73;72;8;6;4
19/05/2015;0,22;;5;10;17;75;76;10;4;4
18/05/2015;0,21;;8;14;26;50;43;20;10;4
17/05/2015;0,14;0,16;4;7;13;53;57;5;3;4
16/05/2015;0,21;0,2;4;7;14;73;76;6;;4
15/05/2015;0,19;;5;11;18;78;78;7;3;4
14/05/2015;;;6;14;23;63;57;15;;4
13/05/2015;0,2;0,21;7;27;37;57;56;38;;6
12/05/2015;0,29;0,28;15;36;58;57;58;53;;7
11/05/2015;0,23;0,24;8;19;31;59;62;28;;4
10/05/2015;0,24;0,22;5;15;23;62;60;41;12;5
09/05/2015;0,24;0,23;5;13;20;55;61;21;;5
08/05/2015;0,18;0,19;5;13;20;84;86;16;6;4
07/05/2015;0,23;0,22;6;20;29;72;70;21;7;5
06/05/2015;0,21;0,2;5;15;24;65;68;17;6;4
05/05/2015;0,19;0,2;5;13;20;78;79;14;6;4
04/05/2015;;;5;14;22;61;54;23;8;4
03/05/2015;0,23;0,22;5;12;20;53;55;28;13;10
02/05/2015;0,21;0,2;7;12;23;31;31;12;7;5
01/05/2015;0,17;0,19;6;12;21;44;47;13;5;5
30/04/2015;0,28;0,27;11;24;42;50;49;31;10;7
29/04/2015;0,23;0,23;10;21;37;47;46;21;11;5
28/04/2015;0,19;0,2;5;14;22;64;70;13;5;4
27/04/2015;;;5;12;20;76;75;8;4;4
26/04/2015;;;4;9;15;67;65;6;;5
25/04/2015;;;5;13;20;67;63;10;;8
24/04/2015;0,26;0,24;14;28;50;51;50;28;13;5
23/04/2015
22/04/2015
21/04/2015;0,26;;17;23;49;58;51;31;17;6
20/04/2015;;;8;25;38;50;49;33;20;6
19/04/2015;;;7;18;29;53;54;16;;5
18/04/2015;0,18;0,19;5;15;23;51;48;17;10;4
17/04/2015;0,23;0,22;7;25;36;38;40;18;12;5
16/04/2015;0,23;0,22;7;24;34;61;67;27;12;5
15/04/2015;0,15;0,16;4;10;17;102;105;19;8;5
14/04/2015;0,25;;5;18;25;90;80;28;9;6
13/04/2015;0,31;0,28;7;27;37;72;72;37;13;8
12/04/2015;0,27;0,25;9;25;38;49;52;54;27;7
