CODIGO;VARIABLE;ENERO;FEBRERO;MARZO;ABRIL;MAYO;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE;ANUAL
ES09;PM10;4,29;10,97;4,40;;9,07;8,07;17,03;12,24;9,03;4,61;6,33;2,73;8,33
ES09;SO42--S;0,13;0,17;0,17;;0,27;0,23;0,45;0,23;0,26;0,14;0,16;0,08;0,21
ES09;NO3-N;0,07;0,11;0,07;;0,05;0,04;0,15;0,12;0,11;0,07;0,08;0,05;0,08
ES09;HNO3-N+NO3--N;0,28;0,24;0,21;;0,21;0,15;0,29;0,21;0,24;0,20;0,32;0,18;0,23
ES09;NH3-N+NH4+-N;0,53;0,87;1,12;;1,05;1,12;0,98;0,85;0,77;0,78;0,55;0,35;0,80
ES10;PM10;20,73;18,14;14,93;;13,00;10,93;16,30;15,10;14,59;11,59;17,57;11,86;15,01
ES10;SO42--S;0,53;0,44;0,37;;0,50;0,45;0,61;0,51;0,50;0,30;0,43;0,24;0,45
ES10;NO3-N;0,58;0,53;0,31;;0,29;0,23;0,32;0,27;0,27;0,27;0,44;0,27;0,34
ES10;HNO3-N+NO3--N;0,68;0,66;0,39;;0,35;0,29;0,44;0,34;0,40;0,46;0,78;0,36;0,47
ES10;NH3-N+NH4+-N;1,12;1,47;0,89;;1,25;1,21;1,46;1,16;1,46;1,02;1,11;0,71;1,18
ES11;PM10;10,00;14,34;13,71;;13,85;14,62;25,32;18,23;19,82;11,90;12,39;6,26;14,77
ES11;SO42--S;0,24;0,29;0,34;;0,34;0,41;0,49;0,31;0,33;0,17;0,27;0,13;0,30
ES11;NO3-N;0,28;0,25;0,25;;0,14;0,22;0,24;0,17;0,22;0,13;0,21;0,12;0,20
ES11;HNO3-N+NO3--N;0,33;0,26;0,20;;0,20;0,22;0,42;0,19;0,23;0,25;0,37;0,23;0,27
ES11;NH3-N+NH4+-N;1,05;1,21;1,21;;1,11;1,17;1,55;1,34;1,45;1,23;1,07;0,59;1,18
ES12;PM10;14,97;18,89;9,00;;9,39;11,28;15,19;14,97;10,28;8,81;11,76;4,67;11,82
ES12;SO42--S;0,41;0,27;0,26;;0,40;0,47;0,71;0,43;0,38;0,20;0,30;0,14;0,37
ES12;NO3-N;0,34;0,40;0,29;;0,26;0,23;0,14;0,15;0,24;0,20;0,29;0,17;0,24
ES12;HNO3-N+NO3--N;0,42;0,46;0,31;;0,28;0,27;0,50;0,43;0,28;0,27;0,48;0,26;0,36
ES12;NH3-N+NH4+-N;1,31;2,16;2,01;;1,28;1,52;1,71;1,73;1,35;1,29;1,13;0,73;1,44
ES13;PM10;5,52;7,50;5,64;;8,22;7,80;12,60;8,34;9,32;5,96;8,59;3,24;7,64
ES13;SO42--S;0,15;0,16;0,15;;0,28;0,32;0,32;0,20;0,24;0,12;0,14;0,08;0,20
ES13;NO3-N;0,19;0,25;0,14;;0,13;0,13;0,15;0,12;0,15;0,09;0,18;0,06;0,14
ES13;HNO3-N+NO3--N;0,29;0,36;0,21;;0,21;0,21;0,32;0,27;0,17;0,21;0,37;0,19;0,26
ES13;NH3-N+NH4+-N;0,86;1,47;0,98;;1,40;1,22;1,90;1,26;1,69;0,65;0,84;0,45;1,16
ES14;PM10;15,08;17,96;10,93;;12,20;9,97;14,10;13,00;13,37;13,19;12,97;6,93;12,66
ES14;SO42--S;0,46;0,32;0,26;;0,42;0,44;0,51;0,45;0,39;0,25;0,33;0,18;0,37
ES14;NO3-N;0,21;0,29;0,16;;0,08;0,05;0,07;0,08;0,11;0,17;0,19;0,12;0,13
ES14;HNO3-N+NO3--N;0,55;0,59;0,31;;0,26;0,24;0,37;0,34;0,20;0,33;0,60;0,31;0,38
ES14;NH3-N+NH4+-N;2,81;3,74;3,35;;3,23;3,05;3,40;3,76;3,30;2,91;3,61;2,76;3,26
ES16;PM10;8,71;13,86;7,79;;11,84;9,60;10,82;8,28;11,72;7,37;8,86;4,85;9,41
ES16;SO42--S;0,20;0,25;0,26;;0,50;0,52;0,50;0,35;0,34;0,16;0,18;0,11;0,31
ES16;NO3-N;0,16;0,18;0,12;;0,19;0,15;0,15;0,10;0,16;0,10;0,13;0,06;0,14
ES16;HNO3-N+NO3--N;0,17;0,16;0,12;;0,21;0,13;0,24;0,16;0,10;0,16;0,17;0,15;0,16
ES16;NH3-N+NH4+-N;0,75;0,78;0,83;;2,25;1,42;1,91;1,63;2,02;0,99;0,78;0,64;1,30
ES17;PM10;13,00;15,96;15,50;;19,68;17,23;23,23;18,77;16,62;13,74;14,55;8,39;16,09
ES17;SO42--S;0,43;0,51;0,59;;0,52;0,67;1,01;0,59;0,50;0,32;0,39;0,24;0,52
ES17;NO3-N;0,52;0,50;0,37;;0,33;0,44;0,67;0,40;0,42;0,25;0,38;0,20;0,41
ES17;HNO3-N+NO3--N;0,62;0,57;0,48;;0,40;0,46;0,80;0,53;0,47;0,43;0,57;0,32;0,52
ES17;NH3-N+NH4+-N;1,41;1,67;1,15;;1,15;1,14;1,69;1,34;1,23;1,32;1,59;0,75;1,32
