CODIGO;VARIABLE;ENERO;FEBRERO;MARZO;ABRIL;MAYO;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE;ANUAL
ES01;PM10;7,03;17,71;7,93;;8,93;12,67;21,42;14,00;13,00;7,93;11,76;3,43;11,60
ES01;SO42--S;0,23;0,25;0,21;;0,29;0,34;0,47;0,25;0,30;0,19;0,23;0,12;0,27
ES01;NO3-N;0,19;0,15;0,11;;0,09;0,09;0,17;0,10;0,14;0,13;0,14;0,09;0,13
ES01;HNO3-N+NO3--N;0,38;0,40;0,22;;0,22;0,32;0,43;0,31;0,35;0,25;0,35;0,25;0,32
ES01;NH3-N+NH4+-N;1,90;1,33;1,21;;1,51;1,08;2,28;1,51;1,82;1,01;1,41;0,91;1,46
ES05;PM10;5,80;8,07;6,21;;10,96;6,59;8,97;6,21;9,29;4,46;6,25;3,69;7,12
ES05;SO42--S;0,16;0,18;0,20;;0,39;0,30;0,36;0,26;0,26;0,12;0,15;0,10;0,23
ES05;NO3-N;0,13;0,12;0,06;;0,21;0,11;0,15;0,09;0,17;0,08;0,14;0,04;0,12
ES05;HNO3-N+NO3--N;0,26;0,17;0,13;;0,20;0,17;0,22;0,20;0,20;0,18;0,23;0,16;0,19
ES05;NH3-N+NH4+-N;0,31;0,59;0,30;;1,03;0,61;1,05;0,54;0,90;0,50;0,39;0,20;0,60
ES06;PM10;22,14;19,24;17,75;;15,79;13,18;15,69;17,40;14,41;18,74;18,48;12,43;16,77
ES06;SO42--S;0,77;0,53;0,51;;0,64;0,63;0,78;0,81;0,69;0,44;0,53;0,38;0,62
ES06;NO3-N;0,56;0,54;0,29;;0,35;0,40;0,43;0,40;0,36;0,33;0,39;0,25;0,39
ES06;HNO3-N+NO3--N;0,59;0,57;0,31;;0,34;0,41;0,42;0,49;0,48;0,47;0,41;0,39;0,45
ES06;NH3-N+NH4+-N;1,06;1,31;1,02;;1,34;1,51;1,52;2,02;1,80;1,40;0,97;0,83;1,37
ES07;PM10;7,19;10,74;7,67;;13,62;17,23;29,10;16,87;14,52;13,19;11,80;4,07;13,78
ES07;SO42--S;0,17;0,20;0,18;;0,36;0,42;0,62;0,32;0,31;0,30;0,28;0,12;0,31
ES07;NO3-N;0,14;0,17;0,14;;0,16;0,20;0,31;0,16;0,19;0,22;0,21;0,08;0,18
ES07;HNO3-N+NO3--N;0,39;0,39;0,26;;0,26;0,35;0,53;0,47;0,32;0,33;0,38;0,44;0,38
ES07;NH3-N+NH4+-N;0,68;1,37;1,96;;0,98;1,12;1,40;1,06;1,16;0,78;0,71;0,68;1,05
ES08;PM10;13,13;26,10;17,77;;16,25;14,33;21,10;21,48;17,69;12,13;16,20;6,77;16,54
ES08;SO42--S;0,44;0,65;0,54;;0,73;0,61;0,59;0,46;0,56;0,38;0,36;0,18;0,50
ES08;NO3-N;0,22;0,30;0,24;;0,33;0,16;0,26;0,20;0,27;0,15;0,24;0,05;0,22
ES08;HNO3-N+NO3--N;0,34;0,43;0,25;;0,44;0,26;0,51;0,40;0,39;0,28;0,44;0,18;0,36
ES08;NH3-N+NH4+-N;1,15;1,24;0,68;;1,73;1,29;1,47;1,56;1,49;1,73;1,14;0,61;1,31
